"gene","LFC_diesel_only_wald","padj_diesel_only_wald","LFC_salinity_only_wald","padj_salinity_only_wald","LFC_diesel_added_wald","padj_diesel_added_wald","LFC_salinity_added_wald","padj_salinity_added_wald","LFC_interactive_only_wald","padj_interactive_only_wald","LFC_combined_wald","padj_combined_wald","LFC_diesel_only_LRT","padj_diesel_only_LRT","LFC_salinity_only_LRT","padj_salinity_only_LRT","LFC_full_model_LRT","padj.x","LFC_interactive_only_LRT","padj.y"
"evm.TU.utg4202.12",0.000120175011446752,NA,0.315597839821403,0.575801409925876,0.130610364815234,NA,0.236071847877019,0.715802955501146,-0.0216227021435734,NA,0.691717143625547,0.234733920953894,NA,NA,NA,NA,-0.361153982750593,0.580527381350737,-0.361153982750593,NA
"evm.TU.utg4202.13",-7.21878572356172e-06,NA,-0.186624385470922,NA,0.0556562495433228,NA,-0.0356443021867041,0.942527244704375,0.0190229225624067,NA,-0.0473923424916135,NA,-0.191099158655137,0.999103041487149,NA,NA,2.47977365805376,0.854527146382093,2.47977365805376,NA
"evm.TU.utg4207.1",-0.000410821170311813,0.999745842719034,-0.132840469385691,0.802855797165923,-0.249676595218589,0.585214483887878,0.0378650484024585,0.948241392976383,0.0678340161356581,0.952586099751582,-0.501237579116426,0.239476684246312,-0.699651046392658,0.999103041487149,-0.192288599091182,0.76381162446696,0.237670048514825,0.315764707545023,0.237670048514825,0.944573104163466
"utg4207.equina_smart_1139456.path2",-0.000120030331903091,0.999745842719034,-0.0345781454940422,0.958293129000079,-0.719174649712419,0.0569593908583982,-0.812040356333077,0.0664083458029148,-0.257989413067895,0.589825349085709,-1.05069139240708,0.0150897377360436,-0.285804632597001,0.999103041487149,-0.0672351711509954,0.936980043119926,-1.01828345973469,0.0519143830733717,-1.01828345973469,0.575569710997184
"evm.TU.utg4207.2",-0.000139415261840513,0.999745842719034,0.468819463198933,0.374686866950994,-2.4474784978366,0.00102378131907489,-0.882359827452572,0.113866836831372,-0.339672585530339,0.285841527360367,-1.49651970350953,0.0100371808111128,-0.781817309275209,0.999103041487149,0.97130000399012,0.46639017047658,-2.53919867123633,0.00168036629501083,-2.53919867123633,0.297677386705677
"evm.TU.utg4207.3",0.000160533589375626,0.999745842719034,-0.0714942096635734,0.907472232603566,0.214773528045512,0.659311942397595,-0.0190610889141679,0.976074689538524,0.0190104891411936,0.990222054367908,0.240681789408837,0.644156777193225,0.359549820756729,0.999103041487149,-0.115787691536263,0.89739152460695,0.0774150326679345,0.739080955315526,0.0774150326679345,0.989270841298086
"evm.TU.utg4207.4",0.000257899196472241,0.999745842719034,-0.55090309101725,0.177533181953473,-0.275625211114412,0.536588993809498,-1.51387803449466,0.000225352574696359,-0.297122049971968,0.528081675189209,-1.03810747596014,0.0115927447765648,0.506946143901891,0.999103041487149,-0.77167325347758,0.163667151675842,-1.04456431255392,0.000406220653899845,-1.04456431255392,0.512213140742086
"evm.TU.utg4207.5",0.000146261694813645,0.999745842719034,-0.0963751128535325,0.886468354638684,-0.293307677964207,0.49021902564733,-1.1227964243021,0.0354755595728094,-0.226963375627479,0.556586719916882,-0.647418051411579,0.230881716252074,0.628596106680038,0.999103041487149,-0.197774018517688,0.86499650785962,-1.53193325246812,0.156742274627588,-1.53193325246812,0.542103741288118
"evm.TU.utg4207.6",4.59182872389156e-05,0.999745842719034,-0.0810189705605036,0.901477266806413,-0.253567917026779,0.584530521264925,-0.612495975025907,0.21856100602496,-0.147641585078033,0.819487757664272,-0.508365697684164,0.319809731876109,0.13893466673092,0.999103041487149,-0.152149753775555,0.885904076007233,-0.773882558229339,0.533670902194429,-0.773882558229339,0.80272370039655
"evm.TU.utg4207.7",6.65472416401681e-06,0.999745842719034,1.12866604031283,0.00026179883890681,-0.713768366472408,0.026211773947109,0.211753490641962,0.588317756419602,-0.433577739723308,0.321896484512058,0.23093703587489,0.572275265928688,0.0046503118249624,0.999103041487149,1.29564407305167,0.00308934418278211,-1.03284576883312,3.55158316081523e-05,-1.03284576883312,0.319227091598371
