candidate_id	matched_de_id	matched_candidate_column	contrast	direction	logfc	padj
utg17372.equina_smart_1811815.mrna1	utg17372.equina_smart_1811815.path1	gene_id	full_model_LRT	down	-1.79324468875332	1.80698638292791e-12
evm.utg17602.14	evm.TU.utg17602.14	gene_id	salinity_added_wald	up	1.42694309554956	0.00957087734927846
evm.utg17602.14	evm.TU.utg17602.14	gene_id	combined_wald	up	1.21493177445447	0.0239421416225561
evm.utg1765.13	evm.TU.utg1765.13	gene_id	salinity_added_wald	down	-2.30371197448099	0.00145018435339084
evm.utg1765.13	evm.TU.utg1765.13	gene_id	combined_wald	down	-1.30394262372161	0.0318614570704362
evm.utg1765.13	evm.TU.utg1765.13	gene_id	full_model_LRT	down	-1.6528328385197	0.00275128877246206
evm.utg1765.11.3.5c22ebf0	evm.TU.utg1765.11	gene_id	salinity_only_wald	down	-2.11345000045132	0.000977942529724616
evm.utg1765.11.3.5c22ebf0	evm.TU.utg1765.11	gene_id	salinity_added_wald	down	-1.88912594825715	0.00310971133594668
evm.utg1765.11.3.5c22ebf0	evm.TU.utg1765.11	gene_id	combined_wald	down	-1.16802473953123	0.0428447323623214
evm.utg1765.11.3.5c22ebf0	evm.TU.utg1765.11	gene_id	salinity_only_LRT	down	-3.07695290779429	0.0027699914480328
utg1825.equina_smart_410043.mrna1	utg1825.equina_smart_410043.path1	gene_id	salinity_only_wald	down	-1.06177620477805	0.0463737115595695
utg1825.equina_smart_410043.mrna1	utg1825.equina_smart_410043.path1	gene_id	salinity_only_LRT	down	-1.93483983448889	0.018306574461379
utg183.equina_smart_954712.mrna1	utg183.equina_smart_954712.path1	gene_id	salinity_only_wald	up	1.61928588058544	3.76583774422767e-05
utg183.equina_smart_954712.mrna1	utg183.equina_smart_954712.path1	gene_id	combined_wald	up	1.33071492768575	0.0009887806390623
utg183.equina_smart_954712.mrna1	utg183.equina_smart_954712.path1	gene_id	salinity_only_LRT	up	1.87809164261501	0.000403805368670148
utg183.equina_smart_1482040.mrna4	utg183.equina_smart_1482040.path4	gene_id	salinity_added_wald	down	-1.33692738226738	0.0365264775772045
evm.utg183.9	evm.TU.utg183.9	gene_id	diesel_added_wald	up	1.44302202502385	0.00402350911229928
evm.utg183.9	evm.TU.utg183.9	gene_id	full_model_LRT	up	1.62369487835383	0.00336976899449313
utg18932.equina_smart_17200.mrna3	utg18932.equina_smart_17200.path3	gene_id	salinity_only_wald	up	1.53726767808767	0.000403327343814183
utg18932.equina_smart_17200.mrna3	utg18932.equina_smart_17200.path3	gene_id	diesel_added_wald	down	-1.21529252109371	0.00557283180244476
utg18932.equina_smart_17200.mrna3	utg18932.equina_smart_17200.path3	gene_id	interactive_only_wald	down	-1.81890410410627	0.0132129779353504
utg18932.equina_smart_17200.mrna3	utg18932.equina_smart_17200.path3	gene_id	salinity_only_LRT	up	1.88232138962426	0.00672989989505661
utg18932.equina_smart_17200.mrna3	utg18932.equina_smart_17200.path3	gene_id	full_model_LRT	down	-2.79872089666941	0.000184375826287425
